date,price
4/13/2018,903
4/14/2018,939
4/15/2018,940
4/16/2018,958
4/17/2018,927
4/18/2018,929
4/19/2018,914
4/20/2018,940
4/21/2018,932
4/22/2018,952
4/23/2018,971
4/24/2018,971
4/25/2018,993
4/26/2018,1044
4/27/2018,1089
4/28/2018,1125
4/29/2018,1141
4/30/2018,1111
5/1/2018,1138
5/2/2018,1248
5/3/2018,1193
5/4/2018,1301
5/5/2018,1423
5/6/2018,1423
5/7/2018,1507
5/8/2018,1507
5/9/2018,1659
5/10/2018,1742
5/11/2018,1829
5/12/2018,1920
5/13/2018,2016
5/14/2018,2116
5/15/2018,2030
5/16/2018,2059
5/17/2018,2217
5/18/2018,2373
5/19/2018,2373
5/20/2018,2337
5/21/2018,2337
5/22/2018,2317
5/23/2018,2202
5/24/2018,2092
5/25/2018,2039
5/26/2018,1957
5/27/2018,1861
5/28/2018,1768
5/29/2018,1722
5/30/2018,1918
5/31/2018,1824
6/1/2018,1854
6/2/2018,1959
6/3/2018,2070
6/4/2018,2135
6/5/2018,2120
6/6/2018,2193
6/7/2018,2334
6/8/2018,2491
6/9/2018,2379
6/10/2018,2358
6/11/2018,2345
6/12/2018,2537
6/13/2018,2641
6/14/2018,2767
6/15/2018,2991
6/16/2018,2991
6/17/2018,3139
6/18/2018,3021
6/19/2018,3091
6/20/2018,3350
6/21/2018,3517
6/22/2018,3342
6/23/2018,3395
6/24/2018,3885
6/25/2018,4077
6/26/2018,3874
6/27/2018,4031
6/28/2018,4436
6/29/2018,4246
6/30/2018,4838
7/1/2018,4390
7/2/2018,4620
7/3/2018,4390
7/4/2018,4451
7/5/2018,4669
7/6/2018,4745
7/7/2018,4555
7/8/2018,4654
7/9/2018,4457
7/10/2018,4255
7/11/2018,4157
7/12/2018,4014
7/13/2018,4394
7/14/2018,4301
7/15/2018,4301
7/16/2018,3992
7/17/2018,3992
7/18/2018,3992
7/19/2018,3911
7/20/2018,3777
7/21/2018,3866
7/22/2018,3691
7/23/2018,3822
7/24/2018,3713
7/25/2018,3668
7/26/2018,3491
7/27/2018,3565
7/28/2018,3414
7/29/2018,3642
7/30/2018,3824
7/31/2018,3824
8/1/2018,3798
8/2/2018,3753
8/3/2018,3843
8/4/2018,3843
8/5/2018,3841
8/6/2018,3657
8/7/2018,3476
8/8/2018,3653
8/9/2018,3563
8/10/2018,3845
8/11/2018,4184
8/12/2018,4291
8/13/2018,4377
8/14/2018,4328
8/15/2018,4170
8/16/2018,3962
8/17/2018,4091
8/18/2018,4078
8/19/2018,4018
8/20/2018,3828
8/21/2018,3638
8/22/2018,3651
8/23/2018,3828
8/24/2018,3796
8/25/2018,3700
8/26/2018,3698
8/27/2018,3747
8/28/2018,3655
8/29/2018,3749
8/30/2018,3698
8/31/2018,3634
9/1/2018,3595
9/2/2018,3454
9/3/2018,3305
9/4/2018,3140
9/5/2018,2985
9/6/2018,2908
9/7/2018,2788
9/8/2018,2654
9/9/2018,2536
9/10/2018,2658
9/11/2018,2639
9/12/2018,2543
9/13/2018,2692
9/14/2018,2626
9/15/2018,2496
9/16/2018,2442
9/17/2018,2402
9/18/2018,2410
9/19/2018,2562
9/20/2018,2628
9/21/2018,2594
9/22/2018,2771
9/23/2018,2936
9/24/2018,2882
9/25/2018,2835
9/26/2018,2752
9/27/2018,2677
9/28/2018,2637
9/29/2018,2756
9/30/2018,2829
10/1/2018,2936
10/2/2018,2968
10/3/2018,2953
10/4/2018,2968
10/5/2018,3053
10/6/2018,2955
10/7/2018,2970
10/8/2018,2993
10/9/2018,3192
10/10/2018,3160
10/11/2018,3066
10/12/2018,2953
10/13/2018,2852
10/14/2018,3053
10/15/2018,3023
10/16/2018,2991
10/17/2018,3004
10/18/2018,2961
10/19/2018,2857
10/20/2018,2812
10/21/2018,2739
10/22/2018,2807
10/23/2018,2743
10/24/2018,2681
10/25/2018,2630
10/26/2018,2684
10/27/2018,2575
10/28/2018,2500
10/29/2018,2391
10/30/2018,2455
10/31/2018,2434
11/1/2018,2408
11/2/2018,2293
11/3/2018,2199
11/4/2018,2094
11/5/2018,2005
11/6/2018,2231
11/7/2018,2393
11/8/2018,2383
11/9/2018,2370
11/10/2018,2393
11/11/2018,2389
11/12/2018,2526
11/13/2018,2511
11/14/2018,2453
11/15/2018,2385
11/16/2018,2278
11/17/2018,2188
11/18/2018,2242
